Region,Region2,Fuel,Value,,Unit,Source,Updated at,Updated by
NO,LT,Power,5.51,,M€/GW,,,
PL,LT,Power,5.51,,M€/GW,,,
PT,LT,Power,5.51,,M€/GW,,,
RO,LT,Power,5.51,,M€/GW,,,
RS,LT,Power,5.51,,M€/GW,,,
SE,LT,Power,5.51,,M€/GW,,,
SI,LT,Power,5.51,,M€/GW,,,
SK,LT,Power,5.51,,M€/GW,,,
UK,LT,Power,5.51,,M€/GW,,,
EE,LT,Power,5.51,,M€/GW,,,
LT,LT,Power,5.51,,M€/GW,,,
LV,LT,Power,5.51,,M€/GW,,,
UA,LT,Power,5.51,,M€/GW,,,
RU,LT,Power,5.51,,M€/GW,,,
BY,LT,Power,5.51,,M€/GW,,,
NONEU_Balkan,LT,Power,5.51,,M€/GW,,,
TR,LT,Power,5.51,,M€/GW,,,
AL,LV,Power,5.51,,M€/GW,,,
AT,LV,Power,5.51,,M€/GW,,,
BA,LV,Power,5.51,,M€/GW,,,
BE,LV,Power,5.51,,M€/GW,,,
BG,LV,Power,5.51,,M€/GW,,,
CH,LV,Power,5.51,,M€/GW,,,
CZ,LV,Power,5.51,,M€/GW,,,
DE,LV,Power,5.51,,M€/GW,,,
DK,LV,Power,5.51,,M€/GW,,,
ES,LV,Power,5.51,,M€/GW,,,
FI,LV,Power,5.51,,M€/GW,,,
FR,LV,Power,5.51,,M€/GW,,,
GR,LV,Power,5.51,,M€/GW,,,
HR,LV,Power,5.51,,M€/GW,,,
HU,LV,Power,5.51,,M€/GW,,,
IE,LV,Power,5.51,,M€/GW,,,
IT,LV,Power,5.51,,M€/GW,,,
LU,LV,Power,5.51,,M€/GW,,,
ME,LV,Power,5.51,,M€/GW,,,
MK,LV,Power,5.51,,M€/GW,,,
NL,LV,Power,5.51,,M€/GW,,,
NO,LV,Power,5.51,,M€/GW,,,
PL,LV,Power,5.51,,M€/GW,,,
PT,LV,Power,5.51,,M€/GW,,,
RO,LV,Power,5.51,,M€/GW,,,
RS,LV,Power,5.51,,M€/GW,,,
SE,LV,Power,5.51,,M€/GW,,,
SI,LV,Power,5.51,,M€/GW,,,
SK,LV,Power,5.51,,M€/GW,,,
UK,LV,Power,5.51,,M€/GW,,,
EE,LV,Power,5.51,,M€/GW,,,
LT,LV,Power,5.51,,M€/GW,,,
LV,LV,Power,5.51,,M€/GW,,,
UA,LV,Power,5.51,,M€/GW,,,
RU,LV,Power,5.51,,M€/GW,,,
BY,LV,Power,5.51,,M€/GW,,,
NONEU_Balkan,LV,Power,5.51,,M€/GW,,,
TR,LV,Power,5.51,,M€/GW,,,
AL,UA,Power,5.51,,M€/GW,,,
AT,UA,Power,5.51,,M€/GW,,,
BA,UA,Power,5.51,,M€/GW,,,
BE,UA,Power,5.51,,M€/GW,,,
BG,UA,Power,5.51,,M€/GW,,,
CH,UA,Power,5.51,,M€/GW,,,
CZ,UA,Power,5.51,,M€/GW,,,
DE,UA,Power,5.51,,M€/GW,,,
DK,UA,Power,5.51,,M€/GW,,,
ES,UA,Power,5.51,,M€/GW,,,
FI,UA,Power,5.51,,M€/GW,,,
FR,UA,Power,5.51,,M€/GW,,,
GR,UA,Power,5.51,,M€/GW,,,
HR,UA,Power,5.51,,M€/GW,,,
HU,UA,Power,5.51,,M€/GW,,,
IE,UA,Power,5.51,,M€/GW,,,
IT,UA,Power,5.51,,M€/GW,,,
LU,UA,Power,5.51,,M€/GW,,,
ME,UA,Power,5.51,,M€/GW,,,
MK,UA,Power,5.51,,M€/GW,,,
NL,UA,Power,5.51,,M€/GW,,,
NO,UA,Power,5.51,,M€/GW,,,
PL,UA,Power,5.51,,M€/GW,,,
PT,UA,Power,5.51,,M€/GW,,,
RO,UA,Power,5.51,,M€/GW,,,
RS,UA,Power,5.51,,M€/GW,,,
SE,UA,Power,5.51,,M€/GW,,,
SI,UA,Power,5.51,,M€/GW,,,
SK,UA,Power,5.51,,M€/GW,,,
UK,UA,Power,5.51,,M€/GW,,,
EE,UA,Power,5.51,,M€/GW,,,
LT,UA,Power,5.51,,M€/GW,,,
LV,UA,Power,5.51,,M€/GW,,,
UA,UA,Power,5.51,,M€/GW,,,
RU,UA,Power,5.51,,M€/GW,,,
BY,UA,Power,5.51,,M€/GW,,,
NONEU_Balkan,UA,Power,5.51,,M€/GW,,,
TR,UA,Power,5.51,,M€/GW,,,
AL,RU,Power,5.51,,M€/GW,,,
AT,RU,Power,5.51,,M€/GW,,,
BA,RU,Power,5.51,,M€/GW,,,
BE,RU,Power,5.51,,M€/GW,,,
BG,RU,Power,5.51,,M€/GW,,,
CH,RU,Power,5.51,,M€/GW,,,
CZ,RU,Power,5.51,,M€/GW,,,
DE,RU,Power,5.51,,M€/GW,,,
DK,RU,Power,5.51,,M€/GW,,,
ES,RU,Power,5.51,,M€/GW,,,
FI,RU,Power,5.51,,M€/GW,,,
FR,RU,Power,5.51,,M€/GW,,,
GR,RU,Power,5.51,,M€/GW,,,
HR,RU,Power,5.51,,M€/GW,,,
HU,RU,Power,5.51,,M€/GW,,,
IE,RU,Power,5.51,,M€/GW,,,
IT,RU,Power,5.51,,M€/GW,,,
LU,RU,Power,5.51,,M€/GW,,,
ME,RU,Power,5.51,,M€/GW,,,
MK,RU,Power,5.51,,M€/GW,,,
NL,RU,Power,5.51,,M€/GW,,,
NO,RU,Power,5.51,,M€/GW,,,
PL,RU,Power,5.51,,M€/GW,,,
PT,RU,Power,5.51,,M€/GW,,,
RO,RU,Power,5.51,,M€/GW,,,
RS,RU,Power,5.51,,M€/GW,,,
SE,RU,Power,5.51,,M€/GW,,,
SI,RU,Power,5.51,,M€/GW,,,
SK,RU,Power,5.51,,M€/GW,,,
UK,RU,Power,5.51,,M€/GW,,,
EE,RU,Power,5.51,,M€/GW,,,
LT,RU,Power,5.51,,M€/GW,,,
LV,RU,Power,5.51,,M€/GW,,,
UA,RU,Power,5.51,,M€/GW,,,
RU,RU,Power,5.51,,M€/GW,,,
BY,RU,Power,5.51,,M€/GW,,,
NONEU_Balkan,RU,Power,5.51,,M€/GW,,,
TR,RU,Power,5.51,,M€/GW,,,
AL,BY,Power,5.51,,M€/GW,,,
AT,BY,Power,5.51,,M€/GW,,,
BA,BY,Power,5.51,,M€/GW,,,
BE,BY,Power,5.51,,M€/GW,,,
BG,BY,Power,5.51,,M€/GW,,,
CH,BY,Power,5.51,,M€/GW,,,
CZ,BY,Power,5.51,,M€/GW,,,
DE,BY,Power,5.51,,M€/GW,,,
DK,BY,Power,5.51,,M€/GW,,,
ES,BY,Power,5.51,,M€/GW,,,
FI,BY,Power,5.51,,M€/GW,,,
FR,BY,Power,5.51,,M€/GW,,,
GR,BY,Power,5.51,,M€/GW,,,
HR,BY,Power,5.51,,M€/GW,,,
HU,BY,Power,5.51,,M€/GW,,,
IE,BY,Power,5.51,,M€/GW,,,
IT,BY,Power,5.51,,M€/GW,,,
LU,BY,Power,5.51,,M€/GW,,,
ME,BY,Power,5.51,,M€/GW,,,
MK,BY,Power,5.51,,M€/GW,,,
NL,BY,Power,5.51,,M€/GW,,,
NO,BY,Power,5.51,,M€/GW,,,
PL,BY,Power,5.51,,M€/GW,,,
PT,BY,Power,5.51,,M€/GW,,,
RO,BY,Power,5.51,,M€/GW,,,
RS,BY,Power,5.51,,M€/GW,,,
SE,BY,Power,5.51,,M€/GW,,,
SI,BY,Power,5.51,,M€/GW,,,
SK,BY,Power,5.51,,M€/GW,,,
UK,BY,Power,5.51,,M€/GW,,,
EE,BY,Power,5.51,,M€/GW,,,
LT,BY,Power,5.51,,M€/GW,,,
LV,BY,Power,5.51,,M€/GW,,,
UA,BY,Power,5.51,,M€/GW,,,
RU,BY,Power,5.51,,M€/GW,,,
BY,BY,Power,5.51,,M€/GW,,,
NONEU_Balkan,BY,Power,5.51,,M€/GW,,,
TR,BY,Power,5.51,,M€/GW,,,
AL,NONEU_Balkan,Power,5.51,,M€/GW,,,
AT,NONEU_Balkan,Power,5.51,,M€/GW,,,
BA,NONEU_Balkan,Power,5.51,,M€/GW,,,
BE,NONEU_Balkan,Power,5.51,,M€/GW,,,
BG,NONEU_Balkan,Power,5.51,,M€/GW,,,
CH,NONEU_Balkan,Power,5.51,,M€/GW,,,
CZ,NONEU_Balkan,Power,5.51,,M€/GW,,,
DE,NONEU_Balkan,Power,5.51,,M€/GW,,,
DK,NONEU_Balkan,Power,5.51,,M€/GW,,,
ES,NONEU_Balkan,Power,5.51,,M€/GW,,,
FI,NONEU_Balkan,Power,5.51,,M€/GW,,,
FR,NONEU_Balkan,Power,5.51,,M€/GW,,,
GR,NONEU_Balkan,Power,5.51,,M€/GW,,,
HR,NONEU_Balkan,Power,5.51,,M€/GW,,,
HU,NONEU_Balkan,Power,5.51,,M€/GW,,,
IE,NONEU_Balkan,Power,5.51,,M€/GW,,,
IT,NONEU_Balkan,Power,5.51,,M€/GW,,,
LU,NONEU_Balkan,Power,5.51,,M€/GW,,,
ME,NONEU_Balkan,Power,5.51,,M€/GW,,,
MK,NONEU_Balkan,Power,5.51,,M€/GW,,,
NL,NONEU_Balkan,Power,5.51,,M€/GW,,,
NO,NONEU_Balkan,Power,5.51,,M€/GW,,,
PL,NONEU_Balkan,Power,5.51,,M€/GW,,,
PT,NONEU_Balkan,Power,5.51,,M€/GW,,,
RO,NONEU_Balkan,Power,5.51,,M€/GW,,,
RS,NONEU_Balkan,Power,5.51,,M€/GW,,,
SE,NONEU_Balkan,Power,5.51,,M€/GW,,,
SI,NONEU_Balkan,Power,5.51,,M€/GW,,,
SK,NONEU_Balkan,Power,5.51,,M€/GW,,,
UK,NONEU_Balkan,Power,5.51,,M€/GW,,,
EE,NONEU_Balkan,Power,5.51,,M€/GW,,,
LT,NONEU_Balkan,Power,5.51,,M€/GW,,,
LV,NONEU_Balkan,Power,5.51,,M€/GW,,,
UA,NONEU_Balkan,Power,5.51,,M€/GW,,,
RU,NONEU_Balkan,Power,5.51,,M€/GW,,,
BY,NONEU_Balkan,Power,5.51,,M€/GW,,,
NONEU_Balkan,NONEU_Balkan,Power,5.51,,M€/GW,,,
TR,NONEU_Balkan,Power,5.51,,M€/GW,,,
AL,TR,Power,5.51,,M€/GW,,,
AT,TR,Power,5.51,,M€/GW,,,
BA,TR,Power,5.51,,M€/GW,,,
BE,TR,Power,5.51,,M€/GW,,,
BG,TR,Power,5.51,,M€/GW,,,
CH,TR,Power,5.51,,M€/GW,,,
CZ,TR,Power,5.51,,M€/GW,,,
DE,TR,Power,5.51,,M€/GW,,,
DK,TR,Power,5.51,,M€/GW,,,
ES,TR,Power,5.51,,M€/GW,,,
FI,TR,Power,5.51,,M€/GW,,,
FR,TR,Power,5.51,,M€/GW,,,
GR,TR,Power,5.51,,M€/GW,,,
HR,TR,Power,5.51,,M€/GW,,,
HU,TR,Power,5.51,,M€/GW,,,
IE,TR,Power,5.51,,M€/GW,,,
IT,TR,Power,5.51,,M€/GW,,,
LU,TR,Power,5.51,,M€/GW,,,
ME,TR,Power,5.51,,M€/GW,,,
MK,TR,Power,5.51,,M€/GW,,,
NL,TR,Power,5.51,,M€/GW,,,
NO,TR,Power,5.51,,M€/GW,,,
PL,TR,Power,5.51,,M€/GW,,,
PT,TR,Power,5.51,,M€/GW,,,
RO,TR,Power,5.51,,M€/GW,,,
RS,TR,Power,5.51,,M€/GW,,,
SE,TR,Power,5.51,,M€/GW,,,
SI,TR,Power,5.51,,M€/GW,,,
SK,TR,Power,5.51,,M€/GW,,,
UK,TR,Power,5.51,,M€/GW,,,
EE,TR,Power,5.51,,M€/GW,,,
LT,TR,Power,5.51,,M€/GW,,,
LV,TR,Power,5.51,,M€/GW,,,
UA,TR,Power,5.51,,M€/GW,,,
RU,TR,Power,5.51,,M€/GW,,,
BY,TR,Power,5.51,,M€/GW,,,
NONEU_Balkan,TR,Power,5.51,,M€/GW,,,
TR,TR,Power,5.51,,M€/GW,,,
